2023-07-27 16:33:47	8
2023-07-27 16:35:59	16
2023-07-27 16:38:12	4
2023-07-27 16:40:27	10
2023-07-27 16:42:40	12
2023-07-27 16:44:53	14
2023-07-27 16:47:06	10
2023-07-27 16:49:18	17
2023-07-27 16:51:35	7
2023-07-27 16:53:49	17
2023-07-27 16:56:02	14
2023-07-27 16:58:15	5
2023-07-27 17:00:28	9
2023-07-27 17:02:42	13
2023-07-27 17:04:54	6
2023-07-27 17:07:08	9
2023-07-27 17:09:45	7
2023-07-27 17:12:04	9
2023-07-27 17:14:19	11
2023-07-27 17:16:32	17
2023-07-27 17:18:46	16
2023-07-27 17:21:00	10
2023-07-27 17:23:13	9
2023-07-27 17:25:32	14
2023-07-27 17:27:51	14
2023-07-27 17:30:07	15
2023-07-27 17:32:25	9
2023-07-27 17:34:40	14
2023-07-27 17:36:53	18
2023-07-27 17:39:07	19
2023-07-27 17:41:20	12
2023-07-27 17:43:47	17
2023-07-27 17:46:06	13
2023-07-27 17:48:19	18
2023-07-27 17:50:32	14
2023-07-27 17:52:46	8
2023-07-27 17:55:01	10
2023-07-27 17:57:15	22
2023-07-27 17:59:29	16
2023-07-27 18:01:43	18
2023-07-27 18:03:56	13
2023-07-27 18:06:08	12
2023-07-27 18:08:21	11
2023-07-27 18:10:38	17
2023-07-27 18:12:53	15
2023-07-27 18:15:05	18
2023-07-27 18:17:18	10
2023-07-27 18:19:32	18
2023-07-27 18:21:44	12
2023-07-27 18:23:56	11
2023-07-27 18:26:10	17
2023-07-27 18:28:23	9
2023-07-27 18:30:35	10
2023-07-27 18:32:47	9
2023-07-27 18:34:59	13
2023-07-27 18:37:12	12
2023-07-27 18:39:25	10
2023-07-27 18:41:37	15
2023-07-27 18:43:49	15
2023-07-27 18:46:02	8
2023-07-27 18:48:21	10
2023-07-27 18:50:33	11
2023-07-27 18:52:45	5
2023-07-27 18:55:03	8
2023-07-27 18:57:15	14
2023-07-27 18:59:30	12
2023-07-27 19:01:43	13
2023-07-27 19:03:56	16
2023-07-27 19:06:08	25
2023-07-27 19:08:21	19
2023-07-27 19:10:40	20
2023-07-27 19:12:52	13
2023-07-27 19:15:06	23
2023-07-27 19:17:18	19
2023-07-27 19:19:31	25
2023-07-27 19:21:44	20
2023-07-27 19:23:56	17
2023-07-27 19:26:08	18
2023-07-27 19:28:28	16
2023-07-27 19:30:41	21
2023-07-27 19:32:56	22
2023-07-27 19:35:12	20
2023-07-27 19:37:24	18
2023-07-27 19:39:37	15
2023-07-27 19:41:50	12
2023-07-27 19:44:16	14
2023-07-27 19:46:29	15
2023-07-27 19:48:44	9
2023-07-27 19:51:24	10
2023-07-27 19:53:41	10
2023-07-27 19:55:56	11
2023-07-27 19:58:12	13
2023-07-27 20:00:29	11
